Gamenr.;Spieler_Innen-Nr.;Note;Punkte
1;1;1.7;1333
1;2;1.3;1456
1;3;1.0;1800
1;4;2.3;999
1;5;2.0;1210
1;6;4.0;400
1;7;1.0;2000
1;8;3.0;789
2;1;1.3;29
2;2;1.0;33
2;3;1.3;29
2;4;1.7;27
2;5;2.0;25
2;6;3.7;17
2;7;1.0;33
2;8;2.7;22
3;1;1.0;630
3;2;2.3;432
3;3;1.3;555
3;4;1.7;512
3;5;2.0;487
3;6;3.3;333
3;7;1.0;650
3;8;1.0;600
4;1;1.3;5
4;2;1.0;6
4;3;1.7;4
4;4;1.3;5
4;5;2.0;3
4;6;3.0;2
4;7;1.0;6
5;1;1.0;100
5;2;1.7;88
5;3;1.3;96
5;4;2.0;79
5;6;6.0;44
5;7;1.0;100
5;8;2.3;73
6;1;2.3;71
6;2;2.0;76
6;3;1.7;83
6;4;1.0;99
6;7;1.0;100
7;1;1.7;456
7;2;2.3;369
7;3;1.0;555
7;4;1.3;512
7;7;1.0;600
8;1;1.3;140
8;2;1.0;150
8;3;1.7;128
8;4;1.3;138
8;7;1.0;160
9;1;3.0;3210
9;2;2.0;3775
9;3;1.3;4252
9;4;1.0;4999
9;7;1.0;5000
