Verknüfungen:;Habitat-ID wird bei Terrarien eingetragen;;;;;;
;;;;;;;
Habitattypen;;;in C°;in %;;;
HT_ID;Bezeichnung;Beschreibung;Temperatur;Luftfeuchtigkeit;Ausstattung;;
1;Regenwald;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (1, 'Regenwald', '', , , '');"
2;Wüste;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (2, 'Wüste', '', , , '');"
3;Aquarium süß;;;100;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (3, 'Aquarium süß', '', , 100, '');"
4;Katastrophengebiet;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (4, 'Katastrophengebiet', '', , , '');"
5;Wald;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (5, 'Wald', '', , , '');"
6;Aquarium salzig;;;100;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (6, 'Aquarium salzig', '', , 100, '');"
7;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (7, '', '', , , '');"
8;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (8, '', '', , , '');"
9;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (9, '', '', , , '');"
10;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (10, '', '', , , '');"
11;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (11, '', '', , , '');"
12;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (12, '', '', , , '');"
13;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (13, '', '', , , '');"
14;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (14, '', '', , , '');"
15;;;;;;;"INSERT INTO Habitattypen (HT_ID, Bezeichnung, Beschreibung, Temperatur, Luftfeuchtigkeit, Ausstattung) VALUES (15, '', '', , , '');"
;;;;;;;
Verbesserungsvorschlag:;;;;;;;
